Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,54.200001,57.500000,54.099998,57.000000,57.000000,2065310
2022-10-26,51.900002,57.799999,50.900002,53.500000,53.500000,2514990
2022-10-27,49.849998,50.900002,46.900002,47.299999,47.299999,3793740
2022-10-28,45.299999,48.900002,44.500000,48.599998,48.599998,3253920
2022-10-31,47.560001,48.509998,44.950001,46.320000,46.320000,1707400
2022-11-01,49.049999,49.939999,44.720001,44.790001,44.790001,2194500
2022-11-02,45.259998,46.549999,39.887001,39.919998,39.919998,4568100
2022-11-03,38.619999,40.730000,37.619999,38.070000,38.070000,3309500
2022-11-04,42.029999,42.470001,37.910000,40.740002,40.740002,4322700
2022-11-07,41.790001,42.250000,39.549999,41.490002,41.490002,2046100
2022-11-08,41.500000,42.970001,39.500000,41.549999,41.549999,3086000
2022-11-09,40.230000,40.599998,37.145000,37.340000,37.340000,1980500
2022-11-10,43.700001,47.820000,42.110001,47.700001,47.700001,3780600
2022-11-11,48.139999,52.240002,46.799999,51.910000,51.910000,3422000
2022-11-14,51.169998,54.330002,49.830002,51.900002,51.900002,2424000
2022-11-15,57.700001,58.939999,54.580002,57.009998,57.009998,3836200
2022-11-16,55.389999,55.650002,52.775002,53.549999,53.549999,1911700
2022-11-17,49.919998,54.950001,49.750000,53.680000,53.680000,2002800
2022-11-18,54.099998,54.160000,49.810001,51.200001,51.200001,1410600
2022-11-21,49.860001,50.679001,47.450001,48.180000,48.180000,1396200
2022-11-22,47.950001,50.139999,46.349998,50.049999,50.049999,2208600
2022-11-23,51.000000,53.490002,50.634998,53.119999,53.119999,1565500
2022-11-25,51.000000,51.755001,50.320000,50.570000,50.570000,846000
2022-11-28,49.169998,51.509998,48.139999,48.570000,48.570000,1299000
2022-11-29,50.259998,50.750000,48.110001,48.950001,48.950001,2118300
2022-11-30,50.310001,59.700001,50.270000,59.700001,59.700001,5760100
2022-12-01,59.150002,61.849998,58.660000,60.630001,60.630001,3246600
2022-12-02,57.919998,62.889999,57.540001,62.259998,62.259998,2143100
2022-12-05,61.810001,63.680000,58.720001,59.759998,59.759998,1790000
2022-12-06,59.650002,60.273998,54.744999,55.570000,55.570000,1552500
2022-12-07,53.459999,55.529999,52.230000,53.990002,53.990002,1604000
2022-12-08,56.169998,58.400002,54.375000,58.020000,58.020000,2345400
2022-12-09,58.680000,60.970001,57.669998,57.759998,57.759998,1898900
2022-12-12,57.009998,57.514999,54.450001,57.500000,57.500000,1613700
2022-12-13,65.269997,66.400002,58.720001,60.790001,60.790001,3397200
2022-12-14,60.139999,62.000000,56.889999,59.310001,59.310001,1678600
2022-12-15,56.240002,56.900002,49.785000,51.220001,51.220001,3320400
2022-12-16,52.000000,53.118999,49.516998,49.849998,49.849998,1611000
2022-12-19,49.500000,49.880001,46.049999,46.810001,46.810001,2047500
2022-12-20,45.240002,47.820000,44.417999,46.450001,46.450001,2030000
2022-12-21,47.070000,50.328999,46.200001,49.430000,49.430000,2430800
2022-12-22,47.040001,47.400002,41.130001,43.810001,43.810001,3182200
2022-12-23,42.889999,44.650002,41.459999,43.889999,43.889999,1734600
2022-12-27,42.779999,42.779999,39.674000,39.759998,39.759998,2596200
2022-12-28,39.220001,40.790001,38.049999,38.590000,38.590000,2629700
2022-12-29,40.509998,43.490002,39.889999,42.869999,42.869999,3743200
2022-12-30,40.919998,43.299999,40.610001,43.279999,43.279999,2043100
2023-01-03,44.650002,45.661999,40.000000,41.130001,41.130001,2192500
2023-01-04,42.349998,42.770000,39.452000,41.820000,41.820000,2183700
2023-01-05,40.730000,40.730000,38.560001,38.730000,38.730000,2366600
2023-01-06,38.810001,42.150002,36.639999,41.610001,41.610001,3937400
2023-01-09,43.959999,47.549999,43.712002,44.790001,44.790001,5499100
2023-01-10,44.090000,47.000000,43.939999,47.000000,47.000000,4266300
2023-01-11,47.590000,49.939999,46.889999,49.900002,49.900002,2633700
2023-01-12,50.830002,52.270000,46.840000,51.750000,51.750000,3358800
2023-01-13,49.560001,53.049999,49.369999,52.889999,52.889999,7217100
2023-01-17,53.070000,54.919998,52.020000,54.389999,54.389999,2283200
2023-01-18,55.750000,56.820000,51.830002,52.040001,52.040001,2379200
2023-01-19,50.359001,51.564999,49.080002,49.770000,49.770000,1794700
2023-01-20,52.000000,56.869999,51.060001,56.750000,56.750000,2542900
2023-01-23,58.060001,64.160004,56.964001,63.580002,63.580002,3893500
2023-01-24,61.410000,64.650002,61.060001,62.480000,62.480000,2154900
2023-01-25,58.259998,62.720001,56.118000,61.900002,61.900002,3009200
