Date,Open,High,Low,Close,Adj Close,Volume
2022-10-24,20.629999,21.469999,19.799999,21.270000,20.897596,274622000
2022-10-25,21.480000,22.639999,21.469999,22.549999,22.155184,238399800
2022-10-26,21.180000,22.500000,20.930000,21.059999,20.691271,279465900
2022-10-27,20.790001,21.120001,19.770000,19.900000,19.551580,256629400
2022-10-28,19.750000,21.809999,19.709999,21.700001,21.320068,255388600
2022-10-31,21.180000,21.370001,20.490000,20.950001,20.583200,209561100
2022-11-01,21.740000,21.870001,20.209999,20.299999,19.944580,215232400
2022-11-02,20.280001,20.980000,18.180000,18.200001,17.881346,331476300
2022-11-03,17.650000,17.950001,17.040001,17.150000,16.849731,212231800
2022-11-04,18.129999,18.350000,16.850000,17.950001,17.635725,382370200
2022-11-07,18.160000,18.639999,17.709999,18.520000,18.195742,200943400
2022-11-08,18.850000,19.620001,18.090000,18.920000,18.588739,296056300
2022-11-09,18.530001,18.700001,17.530001,17.600000,17.291853,215569100
2022-11-10,20.150000,21.540001,19.700001,21.450001,21.074446,328442400
2022-11-11,21.430000,22.830000,21.120001,22.670000,22.273087,307134200
2022-11-14,22.170000,22.959999,21.820000,22.070000,21.683588,214225900
2022-11-15,23.650000,23.950001,22.180000,22.959999,22.558006,318265700
2022-11-16,22.500000,22.580000,21.820000,22.030001,21.644289,191679400
2022-11-17,20.950001,22.209999,20.910000,21.860001,21.477266,213462200
2022-11-18,22.559999,22.580000,21.280001,21.840000,21.457617,194788500
2022-11-21,21.520000,21.799999,20.969999,21.180000,20.809170,144111300
2022-11-22,21.330000,22.100000,20.830000,22.070000,21.683588,146238600
2022-11-23,22.049999,22.870001,22.010000,22.730000,22.332033,178783500
2022-11-25,22.340000,22.500000,22.150000,22.260000,21.870262,67376500
2022-11-28,21.799999,22.270000,21.059999,21.280001,20.907421,131382600
2022-11-29,21.320000,21.420000,20.469999,20.770000,20.406349,137902700
2022-11-30,20.850000,23.650000,20.650000,23.559999,23.147503,272734900
2022-12-01,23.700001,24.170000,23.010000,23.690001,23.275227,205503600
2022-12-02,22.450001,23.629999,22.389999,23.410000,23.000130,181655000
2022-12-05,22.879999,23.200001,21.860001,22.230000,21.840786,150990000
2022-12-06,22.180000,22.209999,20.500000,20.820000,20.455475,169900500
2022-12-07,20.559999,21.030001,20.180000,20.570000,20.209852,173667900
2022-12-08,20.870001,21.500000,20.389999,21.299999,20.927071,188920100
2022-12-09,21.049999,21.690001,20.770000,20.889999,20.524246,177003900
2022-12-12,20.910000,21.660000,20.670000,21.650000,21.270941,112827500
2022-12-13,24.180000,24.230000,21.719999,22.330000,21.939035,347692800
2022-12-14,22.209999,22.990000,21.080000,21.799999,21.418316,289455500
2022-12-15,20.860001,21.030001,19.350000,19.639999,19.296135,214026600
2022-12-16,19.480000,19.809999,18.709999,19.059999,18.726290,175642100
2022-12-19,19.100000,19.129999,17.980000,18.270000,17.950123,155266500
2022-12-20,18.000000,18.559999,17.670000,18.190001,17.871525,172881200
2022-12-21,18.410000,19.250000,18.230000,18.980000,18.647690,163187300
2022-12-22,18.230000,18.250000,16.580000,17.540001,17.322344,230450200
2022-12-23,17.209999,17.719999,16.830000,17.590000,17.371723,165067300
2022-12-27,17.459999,17.480000,16.719999,16.840000,16.631029,131600300
2022-12-28,16.750000,17.200001,16.100000,16.160000,15.959468,182434600
2022-12-29,16.670000,17.500000,16.530001,17.299999,17.085321,153054900
2022-12-30,16.760000,17.299999,16.500000,17.299999,17.085321,150970600
2023-01-03,17.740000,18.040001,16.469999,16.910000,16.700159,179925900
2023-01-04,17.330000,17.490000,16.540001,17.170000,16.956936,217636400
2023-01-05,16.809999,16.850000,16.280001,16.360001,16.156986,181252000
2023-01-06,16.650000,17.900000,16.100000,17.639999,17.421103,233447600
2023-01-09,18.080000,18.959999,17.889999,18.010000,17.786510,186021400
2023-01-10,17.820000,18.490000,17.700001,18.490000,18.260555,164361500
2023-01-11,18.680000,19.430000,18.520000,19.410000,19.169138,151275000
2023-01-12,19.520000,19.920000,18.590000,19.709999,19.465412,280926300
2023-01-13,19.170000,20.170000,19.100000,20.100000,19.850576,159783000
2023-01-17,20.059999,20.510000,19.809999,20.209999,19.959208,139757900
2023-01-18,20.580000,20.910000,19.389999,19.459999,19.218517,186650100
2023-01-19,19.070000,19.309999,18.580000,18.850000,18.616087,166370700
2023-01-20,19.180000,20.450001,18.959999,20.389999,20.136976,161325200
2023-01-23,20.549999,22.000000,20.379999,21.730000,21.460348,194042100
2023-01-24,21.360001,21.870001,21.240000,21.600000,21.331961,145006500
2023-01-25,20.559999,21.590000,19.980000,21.440001,21.173948,218083600
2023-01-26,22.219999,22.719999,21.600000,22.680000,22.398560,203418900
2023-01-27,22.360001,23.820000,22.330000,23.330000,23.040495,188411100
2023-01-30,22.549999,22.900000,21.850000,21.930000,21.657867,173908000
2023-01-31,21.940001,22.920000,21.900000,22.910000,22.625706,158256900
2023-02-01,22.860001,24.950001,22.360001,24.389999,24.087339,271638800
2023-02-02,25.959999,27.450001,25.750000,26.910000,26.576067,267885100
