Date,Open,High,Low,Close,Adj Close,Volume
2021-10-25,71.495003,73.364998,70.360001,72.760002,71.486099,59475800
2021-10-26,74.160004,75.599998,72.824997,73.440002,72.154190,83987800
2021-10-27,73.779999,75.860001,73.629997,74.019997,72.724022,72534000
2021-10-28,75.154999,76.625000,74.699997,76.449997,75.111481,65368800
2021-10-29,74.595001,77.699997,74.389999,77.580002,76.221710,67257200
2021-11-01,77.900002,78.464996,76.589996,78.345001,76.973312,65022800
2021-11-02,78.014999,79.684998,77.980003,79.389999,78.000008,60085600
2021-11-03,79.669998,82.160004,79.035004,81.910004,80.475883,72605200
2021-11-04,82.714996,85.675003,82.364998,84.964996,83.477394,80439800
2021-11-05,86.230003,86.830002,84.364998,85.279999,83.786880,85252800
2021-11-08,85.250000,85.949997,84.529999,84.930000,83.443008,56459800
2021-11-09,85.625000,85.894997,82.285004,83.180000,81.723648,88118800
2021-11-10,81.360001,83.199997,78.250000,79.535004,78.142471,96976800
2021-11-11,81.375000,81.495003,79.949997,80.180000,78.776176,57719000
2021-11-12,80.904999,83.035004,79.875000,82.724998,81.276619,63820400
2021-11-15,83.455002,83.654999,81.044998,82.699997,81.252045,69729200
2021-11-16,82.144997,84.705002,82.029999,84.410004,82.932114,51590800
2021-11-17,84.605003,85.845001,83.894997,84.510002,83.030365,57968000
2021-11-18,85.839996,87.449997,84.385002,87.095001,85.570107,86841600
2021-11-19,88.214996,89.434998,87.660004,88.570000,87.019279,64607200
2021-11-22,89.644997,91.680000,85.430000,85.500000,84.003036,89522400
2021-11-23,84.724998,86.084999,81.394997,84.334999,82.858429,113012800
2021-11-24,82.654999,85.279999,81.165001,85.114998,83.624771,99120800
2021-11-26,83.389999,84.320000,79.360001,80.419998,79.011971,88841200
2021-11-29,83.099998,86.080002,82.665001,85.415001,83.919510,79466000
2021-11-30,84.839996,86.394997,80.355003,81.745003,80.313774,151293000
2021-12-01,84.430000,85.809998,77.235001,77.550003,76.192223,151275600
2021-12-02,76.709999,80.260002,75.824997,79.010002,77.626663,198216400
2021-12-03,80.000000,80.639999,72.464996,75.040001,73.726173,240286800
2021-12-06,75.294998,77.639999,72.764999,76.794998,75.450447,152414000
2021-12-07,80.885002,84.139999,80.870003,83.720001,82.254189,135289200
2021-12-08,83.945000,85.000000,82.735001,84.885002,83.398804,102621800
2021-12-09,84.074997,85.254997,81.000000,81.220001,79.797966,106401000
2021-12-10,82.885002,83.915001,80.889999,83.735001,82.268936,101537600
2021-12-13,83.735001,83.945000,79.889999,80.135002,78.731964,89572600
